First Name,Last Name,Email,Phone,Company
Mehmet,Demir,mehmet.demir@example.com,+90 532 123 45 67,ABC Teknoloji
Elif,Öztürk,elif.ozturk@example.com,+90 532 987 65 43,XYZ Medya
Ahmet,Yılmaz,ahmet.yilmaz@example.com,+90 533 456 78 90,Delta Satış
Fatma,Kara,fatma.kara@example.com,+90 534 321 09 87,VeriSoft
Ayşe,Akbaş,ayse.akbas@example.com,+90 535 654 32 10,İKON İnsan Kaynakları
Can,Çelik,can.celik@example.com,+90 530 112 23 34,CodeMühendislik
Zeynep,Aydın,zeynep.aydin@example.com,+90 531 445 56 78,SağlıkNet
Burak,Şahin,burak.sahin@example.com,+90 532 998 76 54,Tasarımcılar Ltd.
Gizem,Koç,gizem.koc@example.com,+90 534 887 66 55,Koç Hukuk
Mert,Arslan,mert.arslan@example.com,+90 536 334 22 11,Hesap Uzmanları
